site,latitude,longitude,survey_type,duration_min,survey_area_m2,depth_m,transect,species,n,n_per_m2
Bachelor's Beach,12.125726,-68.288226,C. multilineata survey,10,571.082856688574,12.2,4,Chromis multilineata,814,1.4253623453520947
Bachelor's Beach,12.125726,-68.288226,Scarini survey,20,1464.181794149098,12,4,Scarus iseri,6,0.004097851799534818
Bachelor's Beach,12.125726,-68.288226,Scarini survey,20,1464.181794149098,12,4,Scarus taeniopterus,91,0.06215075229294474
Bachelor's Beach,12.125726,-68.288226,Scarini survey,20,1464.181794149098,12,4,Scarus vetula,24,0.016391407198139273
Bachelor's Beach,12.125726,-68.288226,Scarini survey,20,1464.181794149098,12,4,Sparisoma aurofrenatum,24,0.016391407198139273
Bachelor's Beach,12.125726,-68.288226,Scarini survey,20,1464.181794149098,12,4,Sparisoma chrysopterum,1,6.829752999224696e-4
Bachelor's Beach,12.125726,-68.288226,Scarini survey,20,1464.181794149098,12,4,Sparisoma viride,33,0.0225381848974415
Bachelor's Beach,12.125726,-68.288226,Scarini survey,20,1464.181794149098,12,4,Scarus coeruleus,0,0
Bachelor's Beach,12.125726,-68.288226,Scarini survey,20,1464.181794149098,12,4,Sparisoma rubripinne,0,0
Bachelor's Beach,12.125726,-68.288226,Scarini survey,20,1464.181794149098,12,4,Scarus guacamaia,0,0
Cliff,12.174285,-68.290726,Acanthurid survey,10,581.5032270034201,17.5,1,Acanthurus chirurgus,2,0.003439361824879842
Cliff,12.174285,-68.290726,Acanthurid survey,10,581.5032270034201,17.5,1,Acanthurus coeruleus,4,0.006878723649759684
Cliff,12.174285,-68.290726,Acanthurid survey,10,581.5032270034201,17.5,1,Acanthurus tractus,1,0.001719680912439921
Cliff,12.174285,-68.290726,C. multilineata survey,10,582.0295303543486,17.2,1,Chromis multilineata,1317,2.2627717861638224
Cliff,12.174285,-68.290726,Scarini survey,23,1457.4255289502844,16.8,1,Scarus iseri,0,0
Cliff,12.174285,-68.290726,Scarini survey,23,1457.4255289502844,16.8,1,Scarus taeniopterus,100,0.06861414049198475
Cliff,12.174285,-68.290726,Scarini survey,23,1457.4255289502844,16.8,1,Scarus vetula,7,0.004802989834438933
Cliff,12.174285,-68.290726,Scarini survey,23,1457.4255289502844,16.8,1,Sparisoma aurofrenatum,10,0.006861414049198475
Cliff,12.174285,-68.290726,Scarini survey,23,1457.4255289502844,16.8,1,Sparisoma chrysopterum,0,0
Cliff,12.174285,-68.290726,Scarini survey,23,1457.4255289502844,16.8,1,Sparisoma viride,12,0.00823369685903817
Cliff,12.174285,-68.290726,Scarini survey,23,1457.4255289502844,16.8,1,Scarus coeruleus,1,6.861414049198475e-4
Cliff,12.174285,-68.290726,Scarini survey,23,1457.4255289502844,16.8,1,Sparisoma rubripinne,1,6.861414049198475e-4
Cliff,12.174285,-68.290726,Scarini survey,23,1457.4255289502844,16.8,1,Scarus guacamaia,0,0
Cliff,12.174285,-68.290726,Acanthurid survey,10,248.41074257470007,13,2,Acanthurus chirurgus,0,0
Cliff,12.174285,-68.290726,Acanthurid survey,10,248.41074257470007,13,2,Acanthurus coeruleus,7,0.028179135601975897
Cliff,12.174285,-68.290726,Acanthurid survey,10,248.41074257470007,13,2,Acanthurus tractus,1,0.004025590800282271
Cliff,12.174285,-68.290726,C. multilineata survey,10,259.86334301443156,13,2,Chromis multilineata,1190,4.5793299901245135
Cliff,12.174285,-68.290726,Scarini survey,21,1062.1097339073235,10.2,2,Scarus iseri,0,0
Cliff,12.174285,-68.290726,Scarini survey,21,1062.1097339073235,10.2,2,Scarus taeniopterus,72,0.06778960563248401
Cliff,12.174285,-68.290726,Scarini survey,21,1062.1097339073235,10.2,2,Scarus vetula,24,0.022596535210828005
Cliff,12.174285,-68.290726,Scarini survey,21,1062.1097339073235,10.2,2,Sparisoma aurofrenatum,15,0.014122834506767504
Cliff,12.174285,-68.290726,Scarini survey,21,1062.1097339073235,10.2,2,Sparisoma chrysopterum,0,0
Cliff,12.174285,-68.290726,Scarini survey,21,1062.1097339073235,10.2,2,Sparisoma viride,29,0.02730414671308384
Cliff,12.174285,-68.290726,Scarini survey,21,1062.1097339073235,10.2,2,Scarus coeruleus,0,0
Cliff,12.174285,-68.290726,Scarini survey,21,1062.1097339073235,10.2,2,Sparisoma rubripinne,1,9.41522300451167e-4
Cliff,12.174285,-68.290726,Scarini survey,21,1062.1097339073235,10.2,2,Scarus guacamaia,0,0
Cliff,12.174285,-68.290726,Acanthurid survey,10,623.8174675659436,12.1,3,Acanthurus chirurgus,7,0.011221231151659008
Cliff,12.174285,-68.290726,Acanthurid survey,10,623.8174675659436,12.1,3,Acanthurus coeruleus,43,0.06893041993161962
Cliff,12.174285,-68.290726,Acanthurid survey,10,623.8174675659436,12.1,3,Acanthurus tractus,5,0.008015165108327863
Cliff,12.174285,-68.290726,C. multilineata survey,10,624.1130226892658,11.9,3,Chromis multilineata,1192,1.9099104756118421
Cliff,12.174285,-68.290726,Scarini survey,16,750.915240036643,6.3,3,Scarus iseri,14,0.01864391512325257
Cliff,12.174285,-68.290726,Scarini survey,16,750.915240036643,6.3,3,Scarus taeniopterus,40,0.05326832892357876
Cliff,12.174285,-68.290726,Scarini survey,16,750.915240036643,6.3,3,Scarus vetula,15,0.019975623346342036
Cliff,12.174285,-68.290726,Scarini survey,16,750.915240036643,6.3,3,Sparisoma aurofrenatum,14,0.01864391512325257
Cliff,12.174285,-68.290726,Scarini survey,16,750.915240036643,6.3,3,Sparisoma chrysopterum,2,0.002663416446178938
Cliff,12.174285,-68.290726,Scarini survey,16,750.915240036643,6.3,3,Sparisoma viride,49,0.06525370293138398
Cliff,12.174285,-68.290726,Scarini survey,16,750.915240036643,6.3,3,Scarus coeruleus,0,0
Cliff,12.174285,-68.290726,Scarini survey,16,750.915240036643,6.3,3,Sparisoma rubripinne,1,0.001331708223089469
Cliff,12.174285,-68.290726,Scarini survey,16,750.915240036643,6.3,3,Scarus guacamaia,0,0
Cliff,12.174285,-68.290726,Acanthurid survey,10,703.16251230913,7.8,4,Acanthurus chirurgus,3,0.004266439048561104
Cliff,12.174285,-68.290726,Acanthurid survey,10,703.16251230913,7.8,4,Acanthurus coeruleus,17,0.024176487941846257
Cliff,12.174285,-68.290726,Acanthurid survey,10,703.16251230913,7.8,4,Acanthurus tractus,2,0.002844292699040736
Cliff,12.174285,-68.290726,C. multilineata survey,10,703.16251230913,7.8,4,Chromis multilineata,1535,2.182994646513765
Cliff,12.174285,-68.290726,Scarini survey,21,1178.24318061781,9.8,4,Scarus iseri,3,0.0025461636861984255
Cliff,12.174285,-68.290726,Scarini survey,21,1178.24318061781,9.8,4,Scarus taeniopterus,91,0.07723363181468557
Cliff,12.174285,-68.290726,Scarini survey,21,1178.24318061781,9.8,4,Scarus vetula,30,0.025461636861984254
Cliff,12.174285,-68.290726,Scarini survey,21,1178.24318061781,9.8,4,Sparisoma aurofrenatum,18,0.015276982117190552
Cliff,12.174285,-68.290726,Scarini survey,21,1178.24318061781,9.8,4,Sparisoma chrysopterum,1,8.487212287328085e-4
Cliff,12.174285,-68.290726,Scarini survey,21,1178.24318061781,9.8,4,Sparisoma viride,34,0.028856521776915486
Cliff,12.174285,-68.290726,Scarini survey,21,1178.24318061781,9.8,4,Scarus coeruleus,0,0
Cliff,12.174285,-68.290726,Scarini survey,21,1178.24318061781,9.8,4,Sparisoma rubripinne,0,0
Cliff,12.174285,-68.290726,Scarini survey,21,1178.24318061781,9.8,4,Scarus guacamaia,0,0
Karpata,12.219123,-68.352684,Acanthurid survey,10,349.304410207406,8.5,1,Acanthurus chirurgus,0,0
Karpata,12.219123,-68.352684,Acanthurid survey,10,349.304410207406,8.5,1,Acanthurus coeruleus,7,0.020039827140583822
Karpata,12.219123,-68.352684,Acanthurid survey,10,349.304410207406,8.5,1,Acanthurus tractus,0,0
Karpata,12.219123,-68.352684,C. multilineata survey,10,349.304410207406,8.6,1,Chromis multilineata,464,1.328354256175842
Karpata,12.219123,-68.352684,Scarini survey,20,1824.8129223790988,14.3,1,Scarus iseri,0,0
Karpata,12.219123,-68.352684,Scarini survey,20,1824.8129223790988,14.3,1,Scarus taeniopterus,78,0.04274410765258476
Karpata,12.219123,-68.352684,Scarini survey,20,1824.8129223790988,14.3,1,Scarus vetula,16,0.008768022082581489
Karpata,12.219123,-68.352684,Scarini survey,20,1824.8129223790988,14.3,1,Sparisoma aurofrenatum,15,0.008220020702420146
Karpata,12.219123,-68.352684,Scarini survey,20,1824.8129223790988,14.3,1,Sparisoma chrysopterum,0,0
Karpata,12.219123,-68.352684,Scarini survey,20,1824.8129223790988,14.3,1,Sparisoma viride,20,0.010960027603226861
Karpata,12.219123,-68.352684,Scarini survey,20,1824.8129223790988,14.3,1,Scarus coeruleus,0,0
Karpata,12.219123,-68.352684,Scarini survey,20,1824.8129223790988,14.3,1,Sparisoma rubripinne,0,0
Karpata,12.219123,-68.352684,Scarini survey,20,1824.8129223790988,14.3,1,Scarus guacamaia,0,0
Karpata,12.219123,-68.352684,Acanthurid survey,10,551.353971110811,5.6,2,Acanthurus chirurgus,2,0.0036274337445518106
Karpata,12.219123,-68.352684,Acanthurid survey,10,551.353971110811,5.6,2,Acanthurus coeruleus,17,0.03083318682869039
Karpata,12.219123,-68.352684,Acanthurid survey,10,551.353971110811,5.6,2,Acanthurus tractus,0,0
Karpata,12.219123,-68.352684,C. multilineata survey,10,551.353971110811,5.6,2,Chromis multilineata,1511,2.740526194008893
Karpata,12.219123,-68.352684,Scarini survey,24,1811.9336218711728,5.8,2,Scarus iseri,2,0.0011037931941097335
Karpata,12.219123,-68.352684,Scarini survey,24,1811.9336218711728,5.8,2,Scarus taeniopterus,35,0.019316380896920338
Karpata,12.219123,-68.352684,Scarini survey,24,1811.9336218711728,5.8,2,Scarus vetula,50,0.02759482985274334
Karpata,12.219123,-68.352684,Scarini survey,24,1811.9336218711728,5.8,2,Sparisoma aurofrenatum,20,0.011037931941097336
Karpata,12.219123,-68.352684,Scarini survey,24,1811.9336218711728,5.8,2,Sparisoma chrysopterum,0,0
Karpata,12.219123,-68.352684,Scarini survey,24,1811.9336218711728,5.8,2,Sparisoma viride,47,0.025939140061578738
Karpata,12.219123,-68.352684,Scarini survey,24,1811.9336218711728,5.8,2,Scarus coeruleus,0,0
Karpata,12.219123,-68.352684,Scarini survey,24,1811.9336218711728,5.8,2,Sparisoma rubripinne,0,0
Karpata,12.219123,-68.352684,Scarini survey,24,1811.9336218711728,5.8,2,Scarus guacamaia,1,5.518965970548668e-4
Karpata,12.219123,-68.352684,Acanthurid survey,10,502.71955177344245,14.8,3,Acanthurus chirurgus,0,0
Karpata,12.219123,-68.352684,Acanthurid survey,10,502.71955177344245,14.8,3,Acanthurus coeruleus,3,0.005967541921568214
Karpata,12.219123,-68.352684,Acanthurid survey,10,502.71955177344245,14.8,3,Acanthurus tractus,0,0
Karpata,12.219123,-68.352684,C. multilineata survey,10,502.71955177344245,14.5,3,Chromis multilineata,875,1.7405330604573959
Karpata,12.219123,-68.352684,Scarini survey,25,1695.6302394870072,13.3,3,Scarus iseri,0,0
Karpata,12.219123,-68.352684,Scarini survey,25,1695.6302394870072,13.3,3,Scarus taeniopterus,83,0.0489493511422105
Karpata,12.219123,-68.352684,Scarini survey,25,1695.6302394870072,13.3,3,Scarus vetula,25,0.014743780464521235
Karpata,12.219123,-68.352684,Scarini survey,25,1695.6302394870072,13.3,3,Sparisoma aurofrenatum,17,0.01002577071587444
Karpata,12.219123,-68.352684,Scarini survey,25,1695.6302394870072,13.3,3,Sparisoma chrysopterum,1,5.897512185808494e-4
Karpata,12.219123,-68.352684,Scarini survey,25,1695.6302394870072,13.3,3,Sparisoma viride,35,0.02064129265032973
Karpata,12.219123,-68.352684,Scarini survey,25,1695.6302394870072,13.3,3,Scarus coeruleus,0,0
Karpata,12.219123,-68.352684,Scarini survey,25,1695.6302394870072,13.3,3,Sparisoma rubripinne,0,0
Karpata,12.219123,-68.352684,Scarini survey,25,1695.6302394870072,13.3,3,Scarus guacamaia,0,0
Karpata,12.219123,-68.352684,Acanthurid survey,10,705.9432843971961,4.6,4,Acanthurus chirurgus,24,0.0339970653881828
Karpata,12.219123,-68.352684,Acanthurid survey,10,705.9432843971961,4.6,4,Acanthurus coeruleus,84,0.11898972885863979
Karpata,12.219123,-68.352684,Acanthurid survey,10,705.9432843971961,4.6,4,Acanthurus tractus,14,0.019831621476439965
Karpata,12.219123,-68.352684,C. multilineata survey,10,705.9432843971961,5,4,Chromis multilineata,862,1.2210612651922321
Karpata,12.219123,-68.352684,Scarini survey,20,1901.6123199555966,6.4,4,Scarus iseri,1,5.25869542127993e-4
Karpata,12.219123,-68.352684,Scarini survey,20,1901.6123199555966,6.4,4,Scarus taeniopterus,47,0.024715868480015668
Karpata,12.219123,-68.352684,Scarini survey,20,1901.6123199555966,6.4,4,Scarus vetula,55,0.028922824817039613
Karpata,12.219123,-68.352684,Scarini survey,20,1901.6123199555966,6.4,4,Sparisoma aurofrenatum,24,0.01262086901107183
Karpata,12.219123,-68.352684,Scarini survey,20,1901.6123199555966,6.4,4,Sparisoma chrysopterum,3,0.0015776086263839788
Karpata,12.219123,-68.352684,Scarini survey,20,1901.6123199555966,6.4,4,Sparisoma viride,57,0.029974563901295596
Karpata,12.219123,-68.352684,Scarini survey,20,1901.6123199555966,6.4,4,Scarus coeruleus,0,0
Karpata,12.219123,-68.352684,Scarini survey,20,1901.6123199555966,6.4,4,Sparisoma rubripinne,0,0
Karpata,12.219123,-68.352684,Scarini survey,20,1901.6123199555966,6.4,4,Scarus guacamaia,0,0
Tolo,12.214962,-68.337958,Acanthurid survey,10,435.02712415464555,14.4,1,Acanthurus chirurgus,0,0
Tolo,12.214962,-68.337958,Acanthurid survey,10,435.02712415464555,14.4,1,Acanthurus coeruleus,3,0.006896121720754004
Tolo,12.214962,-68.337958,Acanthurid survey,10,435.02712415464555,14.4,1,Acanthurus tractus,0,0
Tolo,12.214962,-68.337958,C. multilineata survey,10,350.85179723792874,14.3,1,Chromis multilineata,331,0.9434182826076096
Tolo,12.214962,-68.337958,Scarini survey,22,1952.59403980643,15.1,1,Scarus iseri,1,5.121392258777635e-4
Tolo,12.214962,-68.337958,Scarini survey,22,1952.59403980643,15.1,1,Scarus taeniopterus,78,0.03994685961846556
Tolo,12.214962,-68.337958,Scarini survey,22,1952.59403980643,15.1,1,Scarus vetula,10,0.005121392258777635
Tolo,12.214962,-68.337958,Scarini survey,22,1952.59403980643,15.1,1,Sparisoma aurofrenatum,17,0.00870636683992198
Tolo,12.214962,-68.337958,Scarini survey,22,1952.59403980643,15.1,1,Sparisoma chrysopterum,1,5.121392258777635e-4
Tolo,12.214962,-68.337958,Scarini survey,22,1952.59403980643,15.1,1,Sparisoma viride,23,0.01177920219518856
Tolo,12.214962,-68.337958,Scarini survey,22,1952.59403980643,15.1,1,Scarus coeruleus,0,0
Tolo,12.214962,-68.337958,Scarini survey,22,1952.59403980643,15.1,1,Sparisoma rubripinne,1,5.121392258777635e-4
Tolo,12.214962,-68.337958,Scarini survey,22,1952.59403980643,15.1,1,Scarus guacamaia,0,0
Tolo,12.214962,-68.337958,Acanthurid survey,10,616.360043352246,8,2,Acanthurus chirurgus,0,0
Tolo,12.214962,-68.337958,Acanthurid survey,10,616.360043352246,8,2,Acanthurus coeruleus,10,0.016224283367903297
Tolo,12.214962,-68.337958,Acanthurid survey,10,616.360043352246,8,2,Acanthurus tractus,1,0.0016224283367903298
Tolo,12.214962,-68.337958,C. multilineata survey,10,616.360043352246,14.3,2,Chromis multilineata,1164,1.888506584023944
Tolo,12.214962,-68.337958,Scarini survey,25,2002.1180062863798,6.6,2,Scarus iseri,3,0.0014984131757370973
Tolo,12.214962,-68.337958,Scarini survey,25,2002.1180062863798,6.6,2,Scarus taeniopterus,47,0.023475139753214525
Tolo,12.214962,-68.337958,Scarini survey,25,2002.1180062863798,6.6,2,Scarus vetula,54,0.02697143716326775
Tolo,12.214962,-68.337958,Scarini survey,25,2002.1180062863798,6.6,2,Sparisoma aurofrenatum,20,0.009989421171580649
Tolo,12.214962,-68.337958,Scarini survey,25,2002.1180062863798,6.6,2,Sparisoma chrysopterum,3,0.0014984131757370973
Tolo,12.214962,-68.337958,Scarini survey,25,2002.1180062863798,6.6,2,Sparisoma viride,54,0.02697143716326775
Tolo,12.214962,-68.337958,Scarini survey,25,2002.1180062863798,6.6,2,Scarus coeruleus,0,0
Tolo,12.214962,-68.337958,Scarini survey,25,2002.1180062863798,6.6,2,Sparisoma rubripinne,4,0.0019978842343161296
Tolo,12.214962,-68.337958,Scarini survey,25,2002.1180062863798,6.6,2,Scarus guacamaia,4,0.0019978842343161296
Tolo,12.214962,-68.337958,Acanthurid survey,10,535.5041963454012,8.5,3,Acanthurus chirurgus,0,0
Tolo,12.214962,-68.337958,Acanthurid survey,10,535.5041963454012,8.5,3,Acanthurus coeruleus,9,0.016806590987374793
Tolo,12.214962,-68.337958,Acanthurid survey,10,535.5041963454012,8.5,3,Acanthurus tractus,1,0.001867398998597199
Tolo,12.214962,-68.337958,C. multilineata survey,10,535.5041963454012,8.5,3,Chromis multilineata,1242,2.3193095562577213
Tolo,12.214962,-68.337958,Scarini survey,24,1946.0501688603651,14.1,3,Scarus iseri,1,5.138613669891226e-4
Tolo,12.214962,-68.337958,Scarini survey,24,1946.0501688603651,14.1,3,Scarus taeniopterus,93,0.0477891071299884
Tolo,12.214962,-68.337958,Scarini survey,24,1946.0501688603651,14.1,3,Scarus vetula,12,0.0061663364038694705
Tolo,12.214962,-68.337958,Scarini survey,24,1946.0501688603651,14.1,3,Sparisoma aurofrenatum,9,0.004624752302902103
Tolo,12.214962,-68.337958,Scarini survey,24,1946.0501688603651,14.1,3,Sparisoma chrysopterum,1,5.138613669891226e-4
Tolo,12.214962,-68.337958,Scarini survey,24,1946.0501688603651,14.1,3,Sparisoma viride,30,0.015415841009673676
Tolo,12.214962,-68.337958,Scarini survey,24,1946.0501688603651,14.1,3,Scarus coeruleus,0,0
Tolo,12.214962,-68.337958,Scarini survey,24,1946.0501688603651,14.1,3,Sparisoma rubripinne,0,0
Tolo,12.214962,-68.337958,Scarini survey,24,1946.0501688603651,14.1,3,Scarus guacamaia,0,0
Tolo,12.214962,-68.337958,Acanthurid survey,10,500.0531152049387,14.9,4,Acanthurus chirurgus,0,0
Tolo,12.214962,-68.337958,Acanthurid survey,10,500.0531152049387,14.9,4,Acanthurus coeruleus,8,0.015998300493981182
Tolo,12.214962,-68.337958,Acanthurid survey,10,500.0531152049387,14.9,4,Acanthurus tractus,0,0
Tolo,12.214962,-68.337958,C. multilineata survey,10,515.5309009578015,15.1,4,Chromis multilineata,611,1.1851859876194175
Tolo,12.214962,-68.337958,Scarini survey,20,1896.757580917833,7.8,4,Scarus iseri,6,0.003163293011380308
Tolo,12.214962,-68.337958,Scarini survey,20,1896.757580917833,7.8,4,Scarus taeniopterus,62,0.032687361117596514
Tolo,12.214962,-68.337958,Scarini survey,20,1896.757580917833,7.8,4,Scarus vetula,47,0.024779128589145747
Tolo,12.214962,-68.337958,Scarini survey,20,1896.757580917833,7.8,4,Sparisoma aurofrenatum,19,0.010017094536037642
Tolo,12.214962,-68.337958,Scarini survey,20,1896.757580917833,7.8,4,Sparisoma chrysopterum,2,0.001054431003793436
Tolo,12.214962,-68.337958,Scarini survey,20,1896.757580917833,7.8,4,Sparisoma viride,36,0.01897975806828185
Tolo,12.214962,-68.337958,Scarini survey,20,1896.757580917833,7.8,4,Scarus coeruleus,0,0
Tolo,12.214962,-68.337958,Scarini survey,20,1896.757580917833,7.8,4,Sparisoma rubripinne,1,5.27215501896718e-4
Tolo,12.214962,-68.337958,Scarini survey,20,1896.757580917833,7.8,4,Scarus guacamaia,0,0
